name,records
Hypoxylon petriniae,897
Viola riviniana,897
Asplenium scolopendrium,894
Auriscalpium vulgare,893
Amanita crocea,891
Physisporinus sanguinolentus,891
Tubaria dispersa,891
Cortinarius semisanguineus,890
Pluteus romellii,888
Lasiosphaeria ovina,886
Dialonectria episphaeria,885
Lachnum apalum,884
Coprinellus domesticus,883
Lepiota castanea,881
Taxus,880
Phellinus igniarius,875
Botryobasidium aureum,868
Mycena olivaceomarginata,867
Holcus lanatus,864
Tricholoma album,864
Lophodermium pinastri,863
Craterellus cornucopioides,856
Hygrophorus eburneus,856
Melampsora hypericorum,853
Epilobium,852
Inosperma maculatum,852
Podosphaera aphanis,852
Collybia sordida,851
Russula silvestris,849
Geastrum michelianum,848
Macrolepiota mastoidea,848
Collybia cirrhata,847
Russula ionochlora,847
Cortinarius cinnamomeus,845
Pleurocybella porrigens,845
Prunus avium,845
Trichoglossum hirsutum,845
Smyrnium olusatrum,843
Phloeomana hiemalis,842
Rhododendron ponticum,842
Entoloma nidorosum,837
Eutypa maura,836
Coprinopsis nivea,835
Anthriscus sylvestris,832
Prunus laurocerasus,832
Hypholoma marginatum,830
Peniophorella praetermissa,828
Hymenoscyphus scutula,827
Phlebiella vaga,827
Phellinus pomaceus,825
Leucocybe connata,823
Taphrina alni,820
Clavulinopsis laeticolor,817
Melampsora euphorbiae,813
Marasmius wynneae,809
Agrocybe pediades,807
Ovis aries,807
Molinia caerulea,806
Castanea,802
Boeremia hedericola,799
Galium aparine,799
Russula sanguinaria,796
Taphrina betulina,791
Golovinomyces depressus,789
Leccinum holopus,787
Resupinatus applicatus,787
Russula gracillima,787
Xerocomus ferrugineus,783
Seifertia azaleae,782
Marasmiellus perforans,780
Coleroa robertiani,778
Crepidotus epibryus,777
Inocybe flocculosa,777
Peziza repanda,774
Coltricia perennis,772
Podosphaera pannosa,772
Cuphophyllus flavipes,770
Deschampsia cespitosa,768
Naohidemyces vacciniorum,765
Strobilurus tenacellus,765
Adoxa moschatellina,764
Leccinum aurantiacum,764
Cudoniella clavus,763
Morchella esculenta,762
Albugo candida,760
Geoglossum cookeanum,757
Podosphaera epilobii,757
Centaurea nigra,756
Trichia botrytis,756
Crepidotus applanatus,755
Trametes ochracea,755
Hemimycena lactea,754
Podosphaera clandestina,753
Golovinomyces cynoglossi,752
Singerocybe phaeophthalma,752
Basidioradulum radula,751
Entoloma clandestinum,749
Russula adusta,747
Plantago lanceolata,744
Primula vulgaris,744
Torula herbarum,744
Diatrype bullata,743
Trichoderma viride,742
Typhula erythropus,741
Hygrocybe splendidissima,739
Milesina scolopendrii,739
Mycena amicta,736
Sonchus oleraceus,736
Puccinia behenis,732
Arcyria cinerea,731
Morchella semilibera,731
Typhula quisquiliaris,729
Phyllactinia guttata,726
Cirsium,725
Hapalopilus nidulans,724
Hypomyces aurantius,724
Crepidotus luteolus,722
Mycena cinerella,721
Puccinia calcitrapae,720
Hygrocybe intermedia,719
Galerina pumila,718
Epichloe typhina,716
Bellis perennis,714
Erysiphe circaeae,714
Blumeria graminis,713
Cirsium vulgare,713
Peziza micropus,713
Mitrula paludosa,712
Mollisia fusca,711
Suillus granulatus,708
Cortinarius bolaris,707
Erysiphe polygoni,707
Pluteus phlebophorus,705
Psathyrella artemisiae,705
Russula grisea,704
Peziza vesiculosa,703
Stropharia pseudocyanea,702
Cyathus striatus,700
Erysiphe trifoliorum,700
Botryobasidium subcoronatum,699
Entoloma chalybeum,699
Russula chloroides,699
Craterium minutum,698
Geranium robertianum,698
Leucoagaricus leucothites,694
Caloboletus radicans,693
Hypholoma elongatum,692
Plasmopara crustosa,691
"Conocybe albipes non Fr., 1863",689
Lycoperdon lividum,689
Melampsora epitea,689
Ascomycota,688
Pluteus umbrosus,688
Asterophora parasitica,687
Mycena stipata,687
Cortinarius elatior,682
Hortiboletus rubellus,682
Tricholoma lascivum,682
Caloboletus calopus,681
Puccinia acetosae,680
Neonectria coccinea,679
Galerina clavata,678
Cortinarius hinnuleus,676
Arcyria incarnata,672
Mycosphaerella punctiformis,672
Hyphoderma setigerum,669
Pholiota alnicola,666
Inocybe lacera,664
Pluteus nanus,663
Dendryphion comosum,662
Cortinarius decipiens,660
Cortinarius flexipes,660
Pseudoboletus parasiticus,659
Sphaerobolus stellatus,657
Sonchus asper,656
Alliaria petiolata,654
Lactarius helvus,654
Hebeloma sinapizans,652
Mollisia melaleuca,652
Pholiotina arrhenii,651
Trechispora farinacea,650
Podosphaera erigerontis-canadensis,646
Rosellinia aquila,645
Stereum rameale,645
Entoloma prunuloides,644
Geastrum fimbriatum,644
Spinellus fusiger,642
Geum urbanum,641
Russula risigallina,640
Inosperma cookei,639
Mycena capillaripes,637
Amanita ceciliae,635
Cystolepiota seminuda,635
Gomphidius roseus,634
Trichia affinis,634
Encoelia furfuracea,631
Ruzenia spermoides,629
Cirsium palustre,628
Miyagia pseudosphaeria,628
Agaricus crocodilinus,627
Collybia cookei,626
Russula grata,626
Pholiota highlandensis,623
Mentha aquatica,622
Phanerochaete velutina,622
Crucibulum laeve,621
Otidea alutacea,616
Podosphaera fusca,616
Luzula sylvatica,615
Entoloma hebes,614
Melanoleuca cognata,614
Puccinia buxi,614
Macrotyphula juncea,613
Boletus,612
Botrytis cinerea,612
Cyanoboletus pulverulentus,612
Hymenoscyphus tetracladius,612
Propolis farinosa,612
Russula exalbicans,612
Cortinarius torvus,610
Cyclocybe erebia,610
Pinopsida,610
Amylostereum laevigatum,608
Peronospora ficariae,608
Panellus mitis,607
Vuilleminia coryli,607
Inocybe assimilata,605
Lactarius pallidus,605
Mycena pseudocorticola,602
Allium ursinum,600
Lachnellula occidentalis,600
Phragmidium fragariae,600
Potentilla sterilis,600
Protomyces macrosporus,600
Puccinia iridis,600
Pucciniastrum circaeae,600
Pseudohydnum gelatinosum,599
Lycoperdon molle,598
Trechispora mollusca,597
Tricholoma columbetta,597
Exidia plana,595
Russula queletii,595
Lactifluus piperatus,594
Amanita porphyria,591
Craterellus sinuosus,590
Russula amoenolens,590
Tylopilus felleus,587
Pholiota flammans,586
Ulmus procera,585
Tilia cordata,583
Lactarius fluens,579
Cortinarius triumphans,578
Artemisia vulgaris,576
Dryopteris dilatata,576
Deconica horizontalis,575
Dryopteris filix-mas,575
Paragalactinia succosa,574
Phlebia rufa,574
Hygrocybe mucronella,573
Cortinarius sanguineus,572
Erysiphe adunca,572
Leucocoprinus brebissonii,572
Ascodichaena rugosa,570
Parasola auricoma,570
Arctium,569
Eutypa spinosa,569
Ischnoderma benzoinum,569
Phanerochaete sordida,569
Pleurotus pulmonarius,568
Didymium difforme,567
Puccinia pulverulenta,567
Puccinia vincae,567
Radulomyces molaris,567
Exidia recisa,566
Mollisia ligni,566
Pholiota aurivella,566
Glutinoglossum glutinosum,565
Resinicium bicolor,564
Tricholoma stiparophyllum,562
Bremia lactucae,561
Cupressus,561
Hymenoscyphus calyculus,559
Steccherinum ochraceum,559
Cortinarius croceus,558
Lentinellus cochleatus,558
Populus canescens,558
Agaricus impudicus,557
Milesina dieteliana,557
Polygonum aviculare sensu Stace,556
Postia ptychogaster,556
Urocystis anemones,556
Trichia persimilis,555
Holcus mollis,554
Lamium album,554
Venturia rumicis,554
Puccinia punctata,553
Tilia cordata x platyphyllos = T. x europaea,553
Bulbillomyces farinosus,551
Phalaris arundinacea,551
Scopuloides rimosa,548
Inocybe cincinnata,546
Skeletocutis amorpha,546
Tsuga heterophylla,546
Helvella elastica,545
Clitopilus hobsonii,544
Erysiphe cruciferarum,540
Iris foetidissima,540
Hedera,539
Scleroderma bovista,539
Hypomyces rosellus,538
Veronica montana,537
Strobilurus esculentus,536
Hypericum androsaemum,534
Laccaria bicolor,533
Puccinia veronicae,533
Helvella macropus,532
Pholiotina aporos,531
Phragmites,531
Milesina blechni,530
Tricholoma imbricatum,530
Hymenoscyphus splendens,529
Russula pseudointegra,528
Uromyces rumicis,528
Hyaloperonospora parasitica,527
Puccinia cnici,527
Hebeloma leucosarx,526
Inocybe glabripes,526
Calycina herbarum,525
Phragmidium rubi-idaei,525
Tephrocybe rancida,525
Collybiopsis vaillantii,523
Psathyrella spadicea,523
Puccinia mirabilissima,523
Stropharia coronilla,522
Stropharia inuncta,521
Vinca major,521
Arcyria obvelata,520
Galerina paludosa,520
Hygrocybe citrinovirens,520
Neonectria lugdunensis,520
Merismodes anomala,519
Russula lutea,518
Oxyporus populinus,517
Russula virescens,517
Lycoperdon echinatum,516
Marasmius hudsonii,515
Entoloma clypeatum,514
Leocarpus fragilis,514
Lonicera periclymenum,512
Psilachnum chrysostigmum,511
Cortinarius alboviolaceus,510
Leptospora rubella,510
Subulicystidium longisporum,510
Bos,508
Euonymus europaeus,507
Bertia moriformis,504
Hygrophorus discoxanthus,504
Agaricus moelleri,503
Puccinia graminis,502
Uromyces geranii,502
Blechnum spicant,501
Ganoderma resinaceum,500
Micropodia pteridina,500
Pluteus plautus,500
Stachys sylvatica,500
Cortinarius mucifluus,494
Inocybe griseolilacina,494
Taphrina tosquinetii,492
Lactarius fuliginosus,491
Trifolium pratense,491
Elymus repens,488
Leccinum cyaneobasileucum,488
Clitocybe ditopus,484
Disciotis venosa,484
Tyromyces chioneus,484
Cortinarius delibutus,483
Entoloma jubatum,483
Digitalis purpurea,481
Hygrocybe aurantiosplendens,480
Leptosphaeria doliolum,480
Puccinia aegopodii,480
Melastiza cornubiensis,479
Valeriana officinalis,479
Hypoxylon howeanum,478
Bjerkandera fumosa,477
Inocybe petiginosa,477
Lachnella alboviolascens,477
Russula violeipes,476
Agaricus langei,474
Collybia phyllophila,474
Russula versicolor,474
Gloniopsis praelonga,473
Lachnella villosa,473
Pustula obtusata,473
Galerina graminea,472
Glyceria maxima,472
Cornus sanguinea,471
Phleogena faginea,471
Hymenoscyphus caudatus,470
Brachypodium sylvaticum,468
Puccinia phragmitis,468
Uromyces viciae-fabae,468
Mahonia aquifolium,467
Pluteus thomsonii,467
Tranzschelia anemones,466
Puccinia adoxae,465
Incrucipulum ciliare,464
Taphrina pruni,464
Ustilago avenae,463
Cervidae,462
Coprinopsis acuminata,462
Cordyceps farinosa,462
Peniophorella pubera,462
Leratiomyces ceres,461
Russula graveolens,461
Aspropaxillus giganteus,460
Tricholoma virgatum,460
Lepraria incana,458
Laccaria tortilis,457
Verpa conica,457
Colpoma quercinum,456
Ramularia urticae,456
Arrhenia retiruga,453
Cervus elaphus,452
Hyalopeziza millepunctata,452
Hyphodontia alutaria,452
Inocybe curvipes,452
Macrolepiota konradii,451
Evernia prunastri,450
Boletus aestivalis,449
Humaria hemisphaerica,448
Lepidoptera,448
Marasmiellus foetidus,448
Mollisia revincta,448
Monilinia johnsonii,446
Phyllachora junci,446
Sarcoscypha coccinea,446
Trifolium repens,446
Clematis vitalba,444
Stemonitopsis typhina,442
Tricholoma cingulatum,442
Sistotrema brinkmannii,441
Golovinomyces sonchicola,440
Ascobolus stercorarius,439
Ammophila,438
Anthoxanthum odoratum,438
Microbotryum lychnidis-dioicae,438
Steccherinum fimbriatum,438
Polyporus ciliatus,437
Mycena polyadelpha,436
Cyclocybe cylindracea,435
Peronospora ranunculi,435
Tricholomopsis decora,435
Physcia tenella,433
Uromyces valerianae,432
Clavulinopsis umbrinella,431
Sonchus arvensis,431
Erysiphe urticae,430
Microglossum olivaceum,430
Parmelia sulcata,430
Lecanora chlarotera,429
Cuphophyllus colemannianus,428
Exobasidium vaccinii,428
Hymenoscyphus repandus,428
Russula aquosa,428
Malus sylvestris,427
Septoria aegopodii,427
Cortinarius armillatus,426
Euphorbia peplus,426
Geoglossum umbratile,426
Physarum leucophaeum,426
Capsella bursa-pastoris,425
Cercospora mercurialis,425
Heteroradulum deglubens,424
Acrospermum compressum,422
Galerina mniophila,422
Quercus cerris,421
Brevicellicium olivascens,420
Leptotrochila ranunculi,420
Xanthoriicola physciae,420
Henningsomyces candidus,418
Terana coerulea,418
Hypogymnia physodes,416
Russula subfoetens,416
Arcyria pomiformis,414
Cortinarius purpurascens,414
Crinipellis scabella,414
Lactarius circellatus,414
Peziza varia,414
Puccinia cnici-oleracei,413
Polypodium vulgare,412
Marasmius cohaerens,411
Tapinella panuoides,410
Gyroporus castaneus,409
Helvella acetabulum,409
