severity,toxicity,dangerous,dangerous_key,lookalike,lookalike_key,character,dangerous_described,lookalike_described,verdict,REVIEW_states_for_undescribed_side,REVIEW_notes,REVIEWER
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hebeloma crustuliniforme,hebeloma-crustuliniforme,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hebeloma crustuliniforme,hebeloma-crustuliniforme,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe ceracea,hygrocybe-ceracea,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe ceracea,hygrocybe-ceracea,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe ceracea,hygrocybe-ceracea,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe chlorophana,hygrocybe-chlorophana,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe chlorophana,hygrocybe-chlorophana,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe chlorophana,hygrocybe-chlorophana,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe coccinea,hygrocybe-coccinea,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe coccinea,hygrocybe-coccinea,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe coccinea,hygrocybe-coccinea,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
